"INCP_2016","Income","AGE","Age","SEX_ABS","Sex","STATE","State","REGIONTYPE","Geography Level","ASGS_2016","Region","TIME","Year","Value","Flag Codes","Flags"
"04","$150-$299 ($7,800-$15,599)","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",157,,
"05","$300-$399 ($15,600-$20,799) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",37,,
"05","$300-$399 ($15,600-$20,799) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",62,,
"06","$400-$499 ($20,800-$25,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",18,,
"06","$400-$499 ($20,800-$25,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",21,,
"07","$500-$649 ($26,000-$33,799) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",21,,
"07","$500-$649 ($26,000-$33,799) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",16,,
"08","$650-$799 ($33,800-$41,599) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",8,,
"08","$650-$799 ($33,800-$41,599) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",4,,
"09","$800-$999 ($41,600-$51,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",6,,
"09","$800-$999 ($41,600-$51,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",0,,
"10","$1,000-$1,249 ($52,000-$64,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",0,,
"10","$1,000-$1,249 ($52,000-$64,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",3,,
"11","$1,250-$1,499 ($65,000-$77,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",0,,
"11","$1,250-$1,499 ($65,000-$77,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",0,,
"12","$1,500-$1,749 ($78,000-$90,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",0,,
"12","$1,500-$1,749 ($78,000-$90,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",0,,
"13","$1,750-$1,999 ($91,000-$103,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",0,,
"13","$1,750-$1,999 ($91,000-$103,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",0,,
"14","$2,000-$2,999 ($104,000-$155,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",0,,
"14","$2,000-$2,999 ($104,000-$155,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",0,,
"15","$3,000 or more ($156,000 or more) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",0,,
"15","$3,000 or more ($156,000 or more) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",0,,
"01","Negative income ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",26,,
"01","Negative income ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",18,,
"02","Nil income ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",862,,
"02","Nil income ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",669,,
"03","$1-$149 ($1-$7,799) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",333,,
"03","$1-$149 ($1-$7,799) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",423,,
"04","$150-$299 ($7,800-$15,599)","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",136,,
"04","$150-$299 ($7,800-$15,599)","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",161,,
"05","$300-$399 ($15,600-$20,799) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",32,,
"05","$300-$399 ($15,600-$20,799) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",59,,
"06","$400-$499 ($20,800-$25,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",37,,
"06","$400-$499 ($20,800-$25,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",31,,
"07","$500-$649 ($26,000-$33,799) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",33,,
"07","$500-$649 ($26,000-$33,799) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",18,,
"08","$650-$799 ($33,800-$41,599) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",19,,
"08","$650-$799 ($33,800-$41,599) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",6,,
"09","$800-$999 ($41,600-$51,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",3,,
"09","$800-$999 ($41,600-$51,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",7,,
"10","$1,000-$1,249 ($52,000-$64,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",4,,
